order_id,store_id,city,partner_id,promised_time_min,actual_time_min,distance_one_way_km,distance_return_km,delay_reason
O50000,S116,Mumbai,P2021,24.0,32,6.5,6.59,Weather
O50001,S127,Bangalore,P2272,19.0,17,2.87,2.53,
O50002,S101,Bangalore,P2275,16.0,20,5.39,4.5,Traffic
O50003,S124,Hyderabad,P2169,39.0,47,4.43,3.8,
O50004,S110,Bangalore,P2250,17.0,13,6.78,6.15,
O50005,S133,Delhi,P2275,32.0,36,1.28,1.31,Store Delay
O50006,S110,Bangalore,P2244,16.0,13,1.99,1.95,
O50007,S109,Delhi,P2155,34.0,29,5.01,4.76,
O50008,S114,Mumbai,P2052,24.0,34,3.38,3.41,Traffic
O50009,S124,Hyderabad,P2250,,33,5.71,5.03,
O50010,S100,Mumbai,P2032,,43,1.46,1.03,Traffic
O50011,S110,Bangalore,P2277,19.0,22,6.05,4.42,Partner Late
O50012,S130,Mumbai,P2168,22.0,29,6.77,5.5,Store Delay
O50013,S100,Mumbai,P2242,25.0,21,6.61,5.38,
O50014,S133,Delhi,P2082,22.0,26,1.6,1.65,System Issue
O50015,S131,Delhi,P2064,28.0,26,6.54,6.47,
O50016,S131,Delhi,P2153,24.0,44,4.95,4.32,Traffic
O50017,S113,Mumbai,P2288,39.0,41,4.88,3.79,Traffic
O50018,S109,Delhi,P2287,21.0,32,3.51,3.04,Store Delay
O50019,S112,Delhi,P2013,37.0,46,6.77,5.49,Store Delay
O50020,S126,Delhi,P2159,27.0,38,4.48,4.77,Store Delay
O50021,S125,Mumbai,P2013,15.0,18,2.6,2.7,Weather
O50022,S121,Hyderabad,P2010,29.0,35,2.84,2.02,Weather
O50023,S111,Bangalore,P2114,15.0,12,2.73,2.56,
O50024,S114,Mumbai,P2108,22.0,24,1.8,1.72,
O50025,S134,Delhi,P2170,37.0,33,6.6,5.24,
O50026,S116,Mumbai,P2023,24.0,31,2.07,1.63,Traffic
O50027,S128,Bangalore,P2292,33.0,40,4.17,4.1,Traffic
O50028,S123,Delhi,P2094,26.0,26,2.36,1.82,
O50029,S137,Mumbai,P2000,39.0,47,4.58,4.76,Store Delay
O50030,S128,Bangalore,P2116,25.0,26,6.8,5.37,Traffic
O50031,S114,Mumbai,P2292,37.0,41,1.25,0.91,Store Delay
O50032,S134,Delhi,P2221,23.0,32,0.64,0.47,Traffic
O50033,S131,Delhi,P2005,30.0,20,6.86,6.22,
O50034,S109,Delhi,P2003,30.0,41,7.09,5.03,Traffic
O50035,S134,Delhi,P2006,16.0,20,3.37,2.83,Traffic
O50036,S123,Delhi,P2121,16.0,18,3.27,3.18,Store Delay
O50037,S100,Mumbai,P2143,25.0,46,4.36,4.05,Store Delay
O50038,S125,Mumbai,P2292,19.0,30,3.52,2.73,Partner Late
O50039,S105,Delhi,P2237,16.0,16,5.83,6.21,
O50040,S100,Mumbai,P2214,19.0,24,2.95,3.18,Store Delay
O50041,S117,Delhi,P2032,17.0,10,2.96,2.35,
O50042,S131,Delhi,P2213,32.0,42,2.62,2.33,Store Delay
O50043,S119,Mumbai,P2086,38.0,49,4.46,3.43,Partner Late
O50044,S103,Bangalore,P2140,30.0,31,2.82,2.6,System Issue
O50045,S126,Delhi,P2042,37.0,36,2.13,1.52,
O50046,S107,Mumbai,P2154,17.0,20,7.67,7.83,Store Delay
O50047,S100,Mumbai,P2153,33.0,44,3.39,2.6,Traffic
O50048,S138,Delhi,P2021,36.0,51,7.75,7.11,Partner Late
O50049,S132,Delhi,P2189,37.0,40,3.76,3.2,Partner Late
O50050,S125,Mumbai,P2262,29.0,25,4.1,3.26,
O50051,S122,Mumbai,P2270,23.0,28,7.14,5.13,Store Delay
O50052,S139,Mumbai,P2272,28.0,37,6.64,5.51,Traffic
O50053,S138,Delhi,P2162,32.0,30,4.81,4.97,
O50054,S114,Mumbai,P2232,21.0,20,4.66,4.2,
O50055,S108,Mumbai,P2261,34.0,44,4.49,4.52,Partner Late
O50056,S104,Hyderabad,P2115,38.0,44,3.54,3.27,Store Delay
O50057,S118,Hyderabad,P2035,38.0,38,7.32,6.94,
O50058,S105,Delhi,P2083,36.0,41,4.63,3.34,Traffic
O50059,S130,Mumbai,P2014,26.0,30,2.52,2.01,Weather
O50060,S115,Hyderabad,P2133,19.0,22,4.76,4.98,Traffic
O50061,S122,Mumbai,P2260,19.0,16,1.16,0.99,
O50062,S100,Mumbai,P2216,16.0,30,2.47,1.85,Traffic
O50063,S135,Bangalore,P2293,34.0,35,6.62,5.5,
O50064,S124,Hyderabad,P2065,25.0,30,7.73,7.75,
O50065,S137,Mumbai,P2082,22.0,12,7.54,5.4,
O50066,S137,Mumbai,P2022,23.0,32,6.4,5.32,Partner Late
O50067,S127,Bangalore,P2036,18.0,16,4.86,5.22,
O50068,S112,Delhi,P2106,19.0,44,4.17,3.47,Traffic
O50069,S109,Delhi,P2249,38.0,49,7.59,7.38,Store Delay
O50070,S138,Delhi,P2167,27.0,29,3.79,3.29,Store Delay
O50071,S122,Mumbai,P2268,25.0,23,7.66,5.46,
O50072,S130,Mumbai,P2060,36.0,36,5.23,4.8,
O50073,S113,Mumbai,P2270,26.0,27,1.15,0.85,Store Delay
O50074,S122,Mumbai,P2175,18.0,27,3.27,2.95,Traffic
O50075,S103,Bangalore,P2270,31.0,28,3.61,2.7,
O50076,S113,Mumbai,P2016,32.0,25,7.98,7.79,
O50077,S126,Delhi,P2083,34.0,31,3.74,3.7,
O50078,S124,Hyderabad,P2031,25.0,39,2.12,1.51,Traffic
O50079,S102,Delhi,P2264,,35,6.3,5.13,
O50080,S105,Delhi,P2071,38.0,37,4.57,3.84,
O50081,S107,Mumbai,P2146,16.0,17,6.39,4.72,Store Delay
O50082,S121,Hyderabad,P2027,33.0,44,0.62,0.61,
O50083,S110,Bangalore,P2188,24.0,17,3.95,3.55,
