order_id,partner_id,base_pay,incentive,earning,late_penalty,complaint_raised,complaint_reason
O50000,P2021,25,20,117.11,0,No,
O50001,P2272,40,20,97.91,0,No,
O50002,P2275,30,0,54.64,20,Yes,Late Delivery
O50003,P2169,25,10,93.56,0,No,
O50004,P2250,30,0,122.36,0,Yes,No Show
O50005,P2275,30,20,58.09,10,No,
O50006,P2244,40,0,63.24,0,No,
O50007,P2155,25,0,68.34,0,No,
O50008,P2052,30,0,59.07,0,Yes,Rude Behavior
O50009,P2250,30,50,135.47,0,Yes,Late Delivery
O50010,P2032,40,10,60.75,0,No,
O50011,P2277,30,0,65.81,20,No,
O50012,P2168,40,0,97.0,0,No,
O50013,P2242,25,10,95.93,0,No,
O50014,P2082,25,0,28.439999999999998,20,Yes,Rude Behavior
O50015,P2064,30,20,123.87,0,No,
O50016,P2153,35,0,104.45,0,No,
O50017,P2288,25,10,80.43,0,No,
O50018,P2287,25,20,71.62,10,No,
O50019,P2013,40,0,120.95,0,No,
O50020,P2159,25,10,64.78,20,No,
O50021,P2013,30,0,40.33,20,No,
O50022,P2010,40,10,63.099999999999994,10,No,
O50023,P2114,35,0,72.29,0,No,
O50024,P2108,30,0,53.36,0,No,
O50025,P2170,40,50,174.33,0,Yes,No Show
O50026,P2023,35,0,50.32,0,Yes,Late Delivery
O50027,P2292,35,10,79.61,20,No,
O50028,P2094,40,0,58.86,0,No,
O50029,P2000,25,0,58.53,10,No,
O50030,P2116,30,10,124.75,10,No,
O50031,P2292,40,10,61.16,0,No,
O50032,P2221,25,10,22.439999999999998,20,No,
O50033,P2005,40,10,119.44,0,No,
O50034,P2003,25,0,119.98,0,No,
O50035,P2006,35,10,72.12,20,Yes,Rude Behavior
O50036,P2121,30,0,58.879999999999995,10,No,
O50037,P2143,25,0,73.42,10,No,
O50038,P2292,35,0,63.78,20,No,
O50039,P2237,40,0,130.83,0,No,
O50040,P2214,40,10,92.52,0,No,
O50041,P2032,40,10,92.26,0,Yes,Late Delivery
O50042,P2213,40,20,85.6,0,Yes,Rude Behavior
O50043,P2086,25,10,70.17,0,No,
O50044,P2140,35,10,65.8,10,Yes,Rude Behavior
O50045,P2042,35,0,61.99,0,No,
O50046,P2154,30,0,123.35,20,No,
O50047,P2153,30,0,65.33,10,Yes,
O50048,P2021,25,0,,10,No,
O50049,P2189,30,50,111.14,0,No,
O50050,P2262,30,0,76.08,0,No,
O50051,P2270,35,20,130.99,0,No,
O50052,P2272,35,50,151.94,0,No,
O50053,P2162,30,50,,0,No,
O50054,P2232,30,0,79.07,0,No,
O50055,P2261,30,0,67.31,10,No,
O50056,P2115,25,20,95.03,0,No,
O50057,P2035,35,0,111.29,0,Yes,Late Delivery
O50058,P2083,25,10,60.510000000000005,20,No,
O50059,P2014,30,10,67.29,0,No,
O50060,P2133,25,10,97.75,0,No,
O50061,P2260,40,0,51.79,0,No,
O50062,P2216,30,20,70.43,10,No,
O50063,P2293,30,0,70.97,10,No,
O50064,P2065,40,0,113.18,10,No,
O50065,P2082,35,10,128.29,0,Yes,Rude Behavior
O50066,P2022,40,0,89.63,0,No,
O50067,P2036,35,0,106.76,0,Yes,Late Delivery
O50068,P2106,35,10,66.58,20,No,
O50069,P2249,30,20,111.12,20,Yes,Wrong Order
O50070,P2167,25,20,74.15,10,No,
O50071,P2268,25,0,81.45,0,No,
O50072,P2060,35,10,110.21,0,Yes,Late Delivery
O50073,P2270,30,10,50.19,0,No,
O50074,P2175,25,20,80.73,10,No,
O50075,P2270,35,20,96.62,0,No,
O50076,P2016,25,10,128.4,0,No,
O50077,P2083,35,20,103.77,0,No,
O50078,P2031,35,0,56.13,0,No,
O50079,P2264,30,10,117.27,0,No,
O50080,P2071,25,0,86.19,0,No,
O50081,P2146,35,50,131.54,0,No,
O50082,P2027,35,0,31.35,10,Yes,Late Delivery
O50083,P2188,30,0,85.86,0,Yes,
O50084,P2164,40,0,94.64,0,No,
O50085,P2100,25,0,27.590000000000003,20,No,
O50086,P2203,40,0,86.48,0,No,
O50087,P2031,30,0,62.11,0,Yes,Rude Behavior
O50088,P2204,40,10,139.92,0,No,
O50089,P2102,25,0,31.51,0,No,
O50090,P2004,40,0,104.61,0,No,
O50091,P2221,30,20,98.21,0,No,
O50092,P2061,30,10,86.99,0,No,
O50093,P2243,35,20,87.34,0,Yes,Wrong Order
O50094,P2111,30,20,92.49,20,No,
O50095,P2104,30,20,80.45,0,Yes,Late Delivery
O50096,P2189,25,0,67.35,0,No,
O50097,P2205,30,20,57.45,0,No,
O50098,P2203,25,0,51.33,0,Yes,No Show
O50099,P2275,30,0,73.96,10,No,
O50100,P2263,40,0,36.59,10,No,
O50101,P2011,40,10,97.41,20,No,
O50102,P2271,40,20,55.269999999999996,20,Yes,No Show
O50103,P2144,30,20,94.65,20,No,
O50104,P2280,40,20,86.18,0,Yes,Rude Behavior
O50105,P2180,40,0,56.43,0,No,
O50106,P2157,40,20,121.42,0,No,
O50107,P2016,35,0,85.05,0,No,
O50108,P2079,40,10,124.46,0,No,
O50109,P2001,30,10,64.24,0,No,
O50110,P2131,30,20,127.46,0,No,
O50111,P2261,30,0,88.79,0,No,
O50112,P2023,35,0,114.09,0,No,
O50113,P2276,25,0,69.47,10,Yes,Rude Behavior
O50114,P2263,25,10,43.07,10,No,
O50115,P2207,30,10,74.58,0,No,
O50116,P2134,40,0,76.65,0,No,
O50117,P2035,30,20,86.28,0,Yes,Late Delivery
O50118,P2290,25,50,96.34,0,No,
O50119,P2224,25,20,75.62,0,No,
O50120,P2067,35,0,96.82,20,No,
O50121,P2180,30,20,108.05,0,No,
O50122,P2235,40,20,122.0,0,No,
O50123,P2133,40,20,49.14,20,Yes,Late Delivery
O50124,P2061,40,0,96.32,10,No,
O50125,P2034,40,20,129.47,0,No,
O50126,P2144,25,0,57.0,0,No,
O50127,P2179,40,10,86.32,0,No,
O50128,P2102,40,10,85.61,0,No,
O50129,P2108,35,10,101.33,20,No,
O50130,P2242,25,20,67.98,0,No,
O50131,P2207,40,0,119.87,10,No,
O50132,P2046,30,50,132.17,0,Yes,Late Delivery
O50133,P2291,35,10,128.88,0,Yes,Wrong Order
O50134,P2260,40,10,65.32,0,No,
O50135,P2135,35,0,76.23,0,No,
O50136,P2172,40,10,103.92,10,No,
O50137,P2070,35,10,100.91,0,No,
O50138,P2012,25,20,126.15,0,No,
O50139,P2015,25,20,101.02,20,Yes,Rude Behavior
O50140,P2064,40,50,147.46,0,No,
O50141,P2119,30,10,109.06,0,No,
O50142,P2142,30,0,34.39,20,Yes,Rude Behavior
O50143,P2071,40,20,119.68,0,No,
O50144,P2216,40,50,98.93,0,No,
O50145,P2024,40,10,112.5,10,No,
O50146,P2196,30,50,104.61,20,No,
O50147,P2105,25,20,64.27,20,Yes,Rude Behavior
O50148,P2075,35,10,84.15,0,No,
O50149,P2156,25,20,85.43,0,No,
O50150,P2236,40,0,53.730000000000004,20,No,
O50151,P2101,25,0,93.31,10,No,
O50152,P2093,35,0,113.08,0,No,
O50153,P2001,35,0,68.67,0,No,
O50154,P2121,30,10,116.33,0,Yes,No Show
O50155,P2127,35,0,102.76,0,Yes,Wrong Order
O50156,P2149,40,20,93.03,20,No,
O50157,P2268,25,10,33.32,20,No,
O50158,P2289,40,0,131.41,0,No,
O50159,P2136,30,0,53.06,0,No,
O50160,P2014,30,0,140.6,0,No,
O50161,P2091,35,10,108.19,10,No,
O50162,P2101,30,0,85.87,20,No,
O50163,P2136,35,10,54.52,0,No,
O50164,P2153,25,0,22.36,20,No,
O50165,P2117,35,20,61.86,0,No,
O50166,P2235,40,0,29.520000000000003,20,No,
O50167,P2177,25,20,63.74,0,No,
O50168,P2043,35,0,115.25,0,No,
O50169,P2140,25,20,58.019999999999996,10,No,
O50170,P2067,30,10,81.05,0,No,
O50171,P2116,25,0,78.68,20,Yes,
O50172,P2030,35,10,63.5,0,No,
O50173,P2075,30,0,97.45,0,No,
O50174,P2110,25,10,64.16,0,No,
O50175,P2193,40,0,61.540000000000006,20,No,
O50176,P2063,35,0,80.33,0,No,
O50177,P2225,35,10,59.53,10,Yes,No Show
O50178,P2219,30,0,80.31,20,Yes,Late Delivery
O50179,P2015,25,0,79.2,20,No,
O50180,P2026,35,20,96.07,10,No,
O50181,P2195,30,0,76.08,0,Yes,Rude Behavior
