partner_id,city,joining_date,accident_history,id_blocked,churned
P2000,Delhi,2024-10-11,No,No,No
P2001,Delhi,2024-11-11,No,No,No
P2002,Bangalore,2023-09-07,No,No,No
P2003,Delhi,2022-04-18,No,No,No
P2004,Delhi,2022-06-15,Yes,No,No
P2005,Bangalore,2023-08-04,No,No,No
P2006,Delhi,2023-02-18,No,No,No
P2007,Hyderabad,2022-02-02,Yes,No,No
P2008,Mumbai,2024-04-11,No,No,No
P2009,Bangalore,2022-01-11,No,No,Yes
P2010,Delhi,2023-11-07,No,No,Yes
P2011,Delhi,2024-07-18,No,No,No
P2012,Delhi,2023-09-17,No,No,No
P2013,Delhi,2023-05-28,No,No,No
P2014,Delhi,2022-03-24,No,No,No
P2015,Mumbai,2022-01-15,Yes,No,Yes
P2016,Mumbai,2022-11-19,No,No,Yes
P2017,Bangalore,2024-06-23,No,No,No
P2018,Delhi,2022-06-04,No,No,No
P2019,Bangalore,2023-09-08,No,Yes,No
P2020,Hyderabad,2023-06-20,No,No,Yes
P2021,Bangalore,2024-06-10,No,No,No
P2022,Mumbai,2024-05-15,Yes,No,No
P2023,Mumbai,2024-04-06,No,No,No
P2024,Delhi,2023-07-09,No,No,No
P2025,Mumbai,2024-12-07,No,No,No
P2026,Hyderabad,2024-05-04,Yes,No,No
P2027,Hyderabad,2024-06-16,No,No,Yes
P2028,Bangalore,2023-11-18,No,No,Yes
P2029,Delhi,2023-01-17,No,No,No
P2030,Bangalore,2022-10-19,No,No,No
P2031,Mumbai,2022-05-31,No,No,No
P2032,Mumbai,2023-09-21,No,No,No
P2033,Delhi,2023-08-25,No,No,Yes
P2034,Bangalore,2024-03-04,No,No,No
P2035,Delhi,2023-06-27,Yes,No,No
P2036,Mumbai,2023-08-12,Yes,No,No
P2037,Mumbai,2024-02-01,No,Yes,Yes
P2038,Mumbai,2022-09-06,No,No,Yes
P2039,Mumbai,2023-03-20,Yes,No,No
P2040,Mumbai,2023-08-24,Yes,No,No
P2041,Delhi,2022-06-05,No,No,No
P2042,Delhi,2024-03-29,No,No,No
P2043,Bangalore,2023-02-07,No,No,No
P2044,Bangalore,2023-05-01,No,No,No
P2045,Delhi,2023-06-14,Yes,No,No
P2046,Delhi,2022-02-22,No,No,No
P2047,Bangalore,2024-04-23,Yes,No,No
P2048,Hyderabad,2023-09-06,Yes,No,No
P2049,Bangalore,2024-02-06,No,No,No
P2050,Bangalore,2022-08-12,Yes,No,No
P2051,Hyderabad,2023-05-31,No,No,Yes
P2052,Mumbai,2024-07-15,No,Yes,No
P2053,Hyderabad,2024-12-22,No,No,No
P2054,Mumbai,2024-10-21,No,No,No
P2055,Delhi,2023-05-06,No,No,No
P2056,Bangalore,2022-05-01,No,No,No
P2057,Bangalore,2022-03-21,Yes,No,No
P2058,Mumbai,2022-04-11,No,No,No
P2059,Bangalore,2022-02-14,No,No,No
P2060,Mumbai,2023-07-22,Yes,No,No
P2061,Delhi,2023-04-26,Yes,No,Yes
P2062,Bangalore,2022-11-28,No,No,No
P2063,Delhi,2022-08-24,No,No,No
P2064,Delhi,2022-12-19,No,No,No
P2065,Bangalore,2024-01-14,No,No,Yes
P2066,Bangalore,2023-01-26,No,No,No
P2067,Bangalore,2023-01-23,No,No,No
P2068,Mumbai,2024-07-23,No,No,No
P2069,Delhi,2023-07-22,No,No,No
P2070,Delhi,2024-09-17,No,No,No
P2071,Mumbai,2023-09-09,Yes,No,No
P2072,Delhi,2024-03-05,No,No,Yes
P2073,Delhi,2024-12-15,No,Yes,No
P2074,Bangalore,2024-04-02,No,No,No
P2075,Hyderabad,2023-05-15,No,No,Yes
P2076,Mumbai,2024-03-05,Yes,No,No
P2077,Mumbai,2022-08-25,No,No,Yes
P2078,Bangalore,2024-11-27,No,No,No
P2079,Mumbai,2024-03-23,No,No,No
P2080,Mumbai,2023-11-21,Yes,Yes,No
P2081,Delhi,2022-10-29,No,No,No
P2082,Mumbai,2024-04-29,No,No,Yes
P2083,Bangalore,2023-05-10,No,No,No
P2084,Hyderabad,2024-02-25,No,No,No
P2085,Mumbai,2024-08-26,No,No,No
P2086,Delhi,2024-06-05,Yes,No,No
P2087,Bangalore,2024-12-22,Yes,No,No
P2088,Hyderabad,2022-03-11,No,No,No
P2089,Mumbai,2023-02-11,No,No,No
P2090,Mumbai,2023-07-07,No,No,No
P2091,Hyderabad,2024-03-30,Yes,No,No
P2092,Hyderabad,2023-08-01,No,No,No
P2093,Mumbai,2024-07-30,No,No,No
P2094,Delhi,2024-08-07,No,No,No
P2095,Bangalore,2022-02-02,No,No,No
P2096,Bangalore,2023-01-07,No,Yes,No
P2097,Mumbai,2024-06-19,No,No,Yes
